GACC	State	Group	Site	Date	Fuel	Percent	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-06-15	Birch, Resin	145	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-05-13	Birch, Resin	134	
AICC	AK	Interagency	Anchorage-Campbell Tract	2015-05-27	Birch, Resin	174	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-08-21	Birch, Resin	124	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-07-14	Birch, Resin	133	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-06-18	Birch, Resin	175	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-06-05	Birch, Resin	212	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-08-27	Birch, Resin	135	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-07-30	Birch, Resin	139	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-07-10	Birch, Resin	132	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-06-25	Birch, Resin	153	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-06-11	Birch, Resin	167	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-05-31	Birch, Resin	144	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-09-11	Birch, Resin	117	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-08-22	Birch, Resin	119	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-08-09	Birch, Resin	129	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-07-18	Birch, Resin	152	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-06-29	Birch, Resin	169	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-06-15	Birch, Resin	149	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-06-01	Birch, Resin	162	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-06-15	Crowberry, Black	140	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-05-13	Crowberry, Black	96	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-05-03	Crowberry, Black	92	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-08-21	Crowberry, Black	145	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-07-14	Crowberry, Black	143	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-06-18	Crowberry, Black	123	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-06-05	Crowberry, Black	125	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-05-07	Crowberry, Black	86	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-08-27	Crowberry, Black	150	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-07-30	Crowberry, Black	142	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-07-10	Crowberry, Black	174	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-06-25	Crowberry, Black	137	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-06-11	Crowberry, Black	123	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-05-31	Crowberry, Black	124	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-09-11	Crowberry, Black	129	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-08-22	Crowberry, Black	139	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-08-09	Crowberry, Black	153	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-07-18	Crowberry, Black	171	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-06-29	Crowberry, Black	172	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-06-15	Duff (DC)	47	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-05-13	Duff (DC)	127	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-05-03	Duff (DC)	68	
AICC	AK	Interagency	Anchorage-Campbell Tract	2015-05-27	Duff (DC)	60	
AICC	AK	Interagency	Anchorage-Campbell Tract	2015-05-13	Duff (DC)	175	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-08-21	Duff (DC)	115	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-07-14	Duff (DC)	104	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-06-18	Duff (DC)	146	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-06-05	Duff (DC)	221	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-05-07	Duff (DC)	644	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-08-27	Duff (DC)	79	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-07-30	Duff (DC)	43	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-07-10	Duff (DC)	71	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-06-25	Duff (DC)	47	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-06-11	Duff (DC)	78	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-05-31	Duff (DC)	174	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-09-11	Duff (DC)	209	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-08-22	Duff (DC)	212	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-08-09	Duff (DC)	118	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-07-18	Duff (DC)	175	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-06-29	Duff (DC)	231	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-06-15	Duff (DC)	344	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-06-15	Moss, Dead (DMC)	84	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-05-13	Moss, Dead (DMC)	149	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-05-03	Moss, Dead (DMC)	65	
AICC	AK	Interagency	Anchorage-Campbell Tract	2015-05-27	Moss, Dead (DMC)	100	
AICC	AK	Interagency	Anchorage-Campbell Tract	2015-05-13	Moss, Dead (DMC)	332	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-08-21	Moss, Dead (DMC)	217	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-07-14	Moss, Dead (DMC)	333	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-06-18	Moss, Dead (DMC)	236	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-06-05	Moss, Dead (DMC)	203	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-05-07	Moss, Dead (DMC)	479	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-08-27	Moss, Dead (DMC)	242	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-07-30	Moss, Dead (DMC)	73	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-07-10	Moss, Dead (DMC)	86	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-06-25	Moss, Dead (DMC)	29	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-06-11	Moss, Dead (DMC)	123	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-05-31	Moss, Dead (DMC)	134	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-09-11	Moss, Dead (DMC)	384	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-08-22	Moss, Dead (DMC)	229	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-08-09	Moss, Dead (DMC)	179	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-07-18	Moss, Dead (DMC)	211	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-06-29	Moss, Dead (DMC)	284	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-06-15	Moss, Dead (DMC)	403	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-06-15	Moss, Live (FFMC)	30	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-05-13	Moss, Live (FFMC)	27	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-05-03	Moss, Live (FFMC)	23	
AICC	AK	Interagency	Anchorage-Campbell Tract	2015-05-27	Moss, Live (FFMC)	38	
AICC	AK	Interagency	Anchorage-Campbell Tract	2015-05-13	Moss, Live (FFMC)	49	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-08-21	Moss, Live (FFMC)	100	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-07-14	Moss, Live (FFMC)	182	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-06-18	Moss, Live (FFMC)	89	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-06-05	Moss, Live (FFMC)	56	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-05-07	Moss, Live (FFMC)	224	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-08-27	Moss, Live (FFMC)	344	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-07-30	Moss, Live (FFMC)	27	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-07-10	Moss, Live (FFMC)	52	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-06-25	Moss, Live (FFMC)	13	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-06-11	Moss, Live (FFMC)	18	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-05-31	Moss, Live (FFMC)	16	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-09-11	Moss, Live (FFMC)	276	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-08-22	Moss, Live (FFMC)	299	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-08-09	Moss, Live (FFMC)	80	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-07-18	Moss, Live (FFMC)	169	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-06-29	Moss, Live (FFMC)	261	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-06-15	Moss, Live (FFMC)	303	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-06-01	Moss, Live (FFMC)	19	
AICC	AK	Interagency	Anchorage-Campbell Tract	2012-05-23	Moss, Live (FFMC)	25	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-06-15	Reedgrass, Bluejoint	142	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-05-13	Reedgrass, Bluejoint	15	
AICC	AK	Interagency	Anchorage-Campbell Tract	2016-05-03	Reedgrass, Bluejoint	17	
AICC	AK	Interagency	Anchorage-Campbell Tract	2015-05-27	Reedgrass, Bluejoint	104	
AICC	AK	Interagency	Anchorage-Campbell Tract	2015-05-13	Reedgrass, Bluejoint	42	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-08-21	Reedgrass, Bluejoint	131	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-07-14	Reedgrass, Bluejoint	200	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-06-18	Reedgrass, Bluejoint	174	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-06-05	Reedgrass, Bluejoint	165	
AICC	AK	Interagency	Anchorage-Campbell Tract	2014-05-07	Reedgrass, Bluejoint	14	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-08-27	Reedgrass, Bluejoint	123	
AICC	AK	Interagency	Anchorage-Campbell Tract	2013-07-30	Reedgrass, Bluejoint	106	
