GACC	State	Group	Site	Date	Fuel	Percent	
NRCC	ID	Clearwater National Forest	Aquarious	2021-06-28	Huckleberry, Thinleaf	267	
NRCC	ID	Clearwater National Forest	Aquarious	2020-08-01	Huckleberry, Thinleaf	224	
NRCC	ID	Clearwater National Forest	Aquarious	2020-07-15	Huckleberry, Thinleaf	241	
NRCC	ID	Clearwater National Forest	Aquarious	2020-06-15	Huckleberry, Thinleaf	266	
NRCC	ID	Clearwater National Forest	Aquarious	2020-06-03	Huckleberry, Thinleaf	278	
NRCC	ID	Clearwater National Forest	Aquarious	2021-06-28	Maple, Rocky Mountain	245	
NRCC	ID	Clearwater National Forest	Aquarious	2020-08-01	Maple, Rocky Mountain	208	
NRCC	ID	Clearwater National Forest	Aquarious	2020-07-15	Maple, Rocky Mountain	221	
NRCC	ID	Clearwater National Forest	Aquarious	2020-06-15	Maple, Rocky Mountain	251	
NRCC	ID	Clearwater National Forest	Aquarious	2020-06-03	Maple, Rocky Mountain	269	
NRCC	ID	Clearwater National Forest	Aquarious	2021-06-28	Redcedar, Western	132	
NRCC	ID	Clearwater National Forest	Aquarious	2020-08-01	Redcedar, Western	127	
NRCC	ID	Clearwater National Forest	Aquarious	2020-07-15	Redcedar, Western	123	
NRCC	ID	Clearwater National Forest	Aquarious	2020-06-15	Redcedar, Western	114	
NRCC	ID	Clearwater National Forest	Aquarious	2020-06-03	Redcedar, Western	106	
NRCC	ID	Clearwater National Forest	Fog 3	2021-08-19	Beargrass, Common	128	
NRCC	ID	Clearwater National Forest	Fog 3	2021-08-19	Huckleberry, Thinleaf	147	
NRCC	ID	Clearwater National Forest	Fog 3	2021-08-19	Pine, Lodgepole	121	
NRCC	ID	Clearwater National Forest	Fog Mountain #1	2021-08-04	1000-Hour	12	
NRCC	ID	Clearwater National Forest	Fog Mountain #1	2021-06-30	1000-Hour	16	
NRCC	ID	Clearwater National Forest	Fog Mountain #1	2021-08-19	Fescue, Idaho	87	
NRCC	ID	Clearwater National Forest	Fog Mountain #1	2021-08-04	Fescue, Idaho	91	
NRCC	ID	Clearwater National Forest	Fog Mountain #1	2021-06-30	Fescue, Idaho	139	
NRCC	ID	Clearwater National Forest	Fog Mountain #1	2021-08-19	Ninebark, Pacific	112	
NRCC	ID	Clearwater National Forest	Fog Mountain #1	2021-08-04	Ninebark, Pacific	103	
NRCC	ID	Clearwater National Forest	Fog Mountain #1	2021-06-30	Ninebark, Pacific	146	
NRCC	ID	Clearwater National Forest	Fog Mountain #1	2021-08-19	Pine, Ponderosa	128	
NRCC	ID	Clearwater National Forest	Fog Mountain #1	2021-08-04	Pine, Ponderosa	120	
NRCC	ID	Clearwater National Forest	Fog Mountain #1	2021-06-30	Pine, Ponderosa	124	
NRCC	ID	Clearwater National Forest	Fog Mtn 2	2021-08-19	Douglas-Fir, Rocky Mountain	109	
NRCC	ID	Clearwater National Forest	Fog Mtn 2	2021-08-19	Fescue, Idaho	138	
NRCC	ID	Clearwater National Forest	Fog Mtn 2	2021-08-19	Ninebark, Pacific	109	
NRCC	ID	Clearwater National Forest	Fog Mtn 2	2021-08-19	Pine, Ponderosa	120	
NRCC	ID	Clearwater National Forest	Fog Mtn 2	2021-08-19	Snowberry, Mountain	109	
NRCC	ID	Clearwater National Forest	Kelly Creek	2020-08-01	Cherry, Choke	151	
NRCC	ID	Clearwater National Forest	Kelly Creek	2020-07-15	Cherry, Choke	155	
NRCC	ID	Clearwater National Forest	Kelly Creek	2020-06-15	Cherry, Choke	177	
NRCC	ID	Clearwater National Forest	Kelly Creek	2020-06-01	Cherry, Choke	211	
NRCC	ID	Clearwater National Forest	Kelly Creek	2020-08-01	Douglas-Fir, Rocky Mountain	102	
NRCC	ID	Clearwater National Forest	Kelly Creek	2020-07-15	Douglas-Fir, Rocky Mountain	100	
NRCC	ID	Clearwater National Forest	Kelly Creek	2020-06-15	Douglas-Fir, Rocky Mountain	114	
NRCC	ID	Clearwater National Forest	Kelly Creek	2020-06-01	Douglas-Fir, Rocky Mountain	93	
NRCC	ID	Clearwater National Forest	Kelly Creek	2020-08-01	Fir, Grand	132	
NRCC	ID	Clearwater National Forest	Kelly Creek	2020-07-15	Fir, Grand	126	
NRCC	ID	Clearwater National Forest	Kelly Creek	2020-06-15	Fir, Grand	94	
NRCC	ID	Clearwater National Forest	Kelly Creek	2020-06-01	Fir, Grand	98	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-09-14	10-Hour	70	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-09-03	10-Hour	10	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-08-19	10-Hour	11	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-08-03	10-Hour	5	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-07-20	10-Hour	6	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-06-28	10-Hour	5	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-06-14	10-Hour	11	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-05-24	10-Hour	13	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-07-20	10-Hour	7	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-07-06	10-Hour	16	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-06-22	10-Hour	19	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-05-26	10-Hour	18	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-05-11	10-Hour	12	
NRCC	ID	Clearwater National Forest	Mission Cr.	2019-07-16	10-Hour	14	
NRCC	ID	Clearwater National Forest	Mission Cr.	2019-07-01	10-Hour	15	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-09-14	100-Hour	68	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-09-03	100-Hour	7	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-08-19	100-Hour	7	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-08-03	100-Hour	2	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-07-20	100-Hour	5	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-06-28	100-Hour	6	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-06-14	100-Hour	10	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-05-24	100-Hour	10	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-07-20	100-Hour	8	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-07-06	100-Hour	12	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-06-22	100-Hour	18	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-06-10	100-Hour	25	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-05-26	100-Hour	37	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-05-11	100-Hour	16	
NRCC	ID	Clearwater National Forest	Mission Cr.	2019-07-16	100-Hour	10	
NRCC	ID	Clearwater National Forest	Mission Cr.	2019-07-01	100-Hour	12	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-09-14	1000-Hour	68	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-09-03	1000-Hour	6	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-08-19	1000-Hour	7	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-08-03	1000-Hour	3	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-07-20	1000-Hour	5	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-06-28	1000-Hour	7	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-06-14	1000-Hour	13	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-05-24	1000-Hour	11	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-07-20	1000-Hour	9	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-07-06	1000-Hour	25	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-06-22	1000-Hour	21	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-06-10	1000-Hour	23	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-05-26	1000-Hour	26	
NRCC	ID	Clearwater National Forest	Mission Cr.	2020-05-11	1000-Hour	19	
NRCC	ID	Clearwater National Forest	Mission Cr.	2019-07-16	1000-Hour	10	
NRCC	ID	Clearwater National Forest	Mission Cr.	2019-07-01	1000-Hour	13	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-09-14	Black Hawthorn	40	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-09-03	Black Hawthorn	88	
NRCC	ID	Clearwater National Forest	Mission Cr.	2021-08-19	Black Hawthorn	81	
