GACC	State	Group	Site	Date	Fuel	Percent	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-05-16	1-Hour	32	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-05-02	1-Hour	10	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-04-24	1-Hour	9	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-04-06	1-Hour	15	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-03-15	1-Hour	16	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-02-28	1-Hour	14	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-02-14	1-Hour	13	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-01-31	1-Hour	14	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-01-19	1-Hour	22	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-01-05	1-Hour	20	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-12-19	1-Hour	13	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-12-05	1-Hour	15	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-11-21	1-Hour	11	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-11-09	1-Hour	9	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-10-25	1-Hour	10	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-10-13	1-Hour	9	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-09-29	1-Hour	9	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-09-12	1-Hour	9	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-08-29	1-Hour	12	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-08-09	1-Hour	11	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-07-25	1-Hour	6	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-07-12	1-Hour	6	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-06-29	1-Hour	11	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-06-16	1-Hour	6	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-06-01	1-Hour	12	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-05-17	1-Hour	14	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-05-04	1-Hour	11	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-04-19	1-Hour	16	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-04-04	1-Hour	8	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-03-21	1-Hour	10	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-03-09	1-Hour	12	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-02-24	1-Hour	18	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-01-28	1-Hour	15	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-11-04	1-Hour	12	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-10-21	1-Hour	11	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-10-06	1-Hour	13	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-09-22	1-Hour	14	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-09-10	1-Hour	24	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-08-26	1-Hour	11	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-08-13	1-Hour	2	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-05-31	Brome, Smooth	214	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-05-16	Brome, Smooth	174	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-05-02	Brome, Smooth	152	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-04-24	Brome, Smooth	202	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-04-06	Brome, Smooth	87	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-03-15	Brome, Smooth	22	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-02-14	Brome, Smooth	14	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-01-19	Brome, Smooth	25	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-01-05	Brome, Smooth	22	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-12-19	Brome, Smooth	14	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-12-05	Brome, Smooth	38	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-11-09	Brome, Smooth	57	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-10-25	Brome, Smooth	83	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-10-13	Brome, Smooth	99	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-09-29	Brome, Smooth	127	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-09-12	Brome, Smooth	65	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-08-29	Brome, Smooth	71	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-08-09	Brome, Smooth	65	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-07-25	Brome, Smooth	69	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-07-12	Brome, Smooth	90	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-06-29	Brome, Smooth	106	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-06-16	Brome, Smooth	74	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-06-01	Brome, Smooth	120	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-05-17	Brome, Smooth	133	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-05-04	Brome, Smooth	136	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-04-19	Brome, Smooth	61	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-04-04	Brome, Smooth	94	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-03-21	Brome, Smooth	57	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-03-09	Brome, Smooth	31	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-02-24	Brome, Smooth	24	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-11-04	Brome, Smooth	81	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-10-21	Brome, Smooth	111	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-10-06	Brome, Smooth	91	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-09-22	Brome, Smooth	76	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-09-10	Brome, Smooth	80	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-08-26	Brome, Smooth	66	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-08-13	Brome, Smooth	75	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-05-16	Redcedar, Eastern	146	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-05-02	Redcedar, Eastern	84	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-04-24	Redcedar, Eastern	106	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-04-06	Redcedar, Eastern	92	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-03-15	Redcedar, Eastern	83	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-02-28	Redcedar, Eastern	104	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-02-14	Redcedar, Eastern	101	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-01-31	Redcedar, Eastern	97	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-01-19	Redcedar, Eastern	97	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2017-01-05	Redcedar, Eastern	96	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-12-19	Redcedar, Eastern	90	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-12-05	Redcedar, Eastern	107	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-11-21	Redcedar, Eastern	97	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-11-09	Redcedar, Eastern	114	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-10-25	Redcedar, Eastern	106	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-10-13	Redcedar, Eastern	112	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-09-29	Redcedar, Eastern	116	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-09-12	Redcedar, Eastern	121	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-08-29	Redcedar, Eastern	131	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-08-09	Redcedar, Eastern	128	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-07-25	Redcedar, Eastern	132	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-07-12	Redcedar, Eastern	133	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-06-29	Redcedar, Eastern	130	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-06-16	Redcedar, Eastern	140	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-06-01	Redcedar, Eastern	155	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-05-17	Redcedar, Eastern	143	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-05-04	Redcedar, Eastern	115	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-04-19	Redcedar, Eastern	100	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-04-04	Redcedar, Eastern	95	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-03-21	Redcedar, Eastern	95	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-03-09	Redcedar, Eastern	94	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-02-24	Redcedar, Eastern	93	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2016-01-28	Redcedar, Eastern	84	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-11-04	Redcedar, Eastern	108	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-10-21	Redcedar, Eastern	115	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-10-06	Redcedar, Eastern	132	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-09-22	Redcedar, Eastern	127	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-09-10	Redcedar, Eastern	136	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-08-26	Redcedar, Eastern	131	
EACC	IA	IA-DNR	Broken Kettle Grasslands	2015-08-13	Redcedar, Eastern	4	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2017-05-31	Bluestem, Little	133	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2017-05-16	Bluestem, Little	34	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2017-05-02	Bluestem, Little	7	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2017-04-24	Bluestem, Little	7	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2017-04-06	Bluestem, Little	7	
EACC	IA	IA-DNR	Broken Kettle Grasslands - Stevenson Ridge	2017-03-15	Bluestem, Little	13	
