GACC	State	Group	Site	Date	Fuel	Percent	
SACC	FL	R4 FWS	Bogue Chitto	2007-11-28	Sweetgum	142	
SACC	FL	R4 FWS	Bogue Chitto	2007-09-05	Sweetgum	139	
SACC	FL	R4 FWS	Bogue Chitto	2007-06-05	Sweetgum	195	
SACC	FL	R4 FWS	Bogue Chitto	2007-05-03	Sweetgum	204	
SACC	FL	R4 FWS	Bogue Chitto	2007-04-03	Sweetgum	248	
SACC	FL	R4 FWS	Bogue Chitto	2006-11-01	Sweetgum	119	
SACC	FL	R4 FWS	Bogue Chitto	2006-09-21	Sweetgum	152	
SACC	FL	R4 FWS	Bogue Chitto	2006-08-29	Sweetgum	147	
SACC	FL	R4 FWS	Bogue Chitto	2006-06-29	Sweetgum	219	
SACC	FL	R4 FWS	Bogue Chitto	2006-05-30	Sweetgum	161	
SACC	FL	R4 FWS	Bogue Chitto	2006-04-19	Sweetgum	240	
SACC	FL	R4 FWS	Bogue Chitto	2006-03-27	Sweetgum	261	
SACC	FL	R4 FWS	Bogue Chitto	2005-12-12	Sweetgum	185	
SACC	FL	R4 FWS	Bogue Chitto	2005-11-15	Sweetgum	180	
SACC	FL	R4 FWS	Bogue Chitto	2005-09-25	Sweetgum	187	
SACC	FL	R4 FWS	Bogue Chitto	2005-07-12	Sweetgum	219	
SACC	FL	R4 FWS	Bogue Chitto	2005-06-15	Sweetgum	209	
SACC	FL	R4 FWS	Bogue Chitto	2005-05-11	Sweetgum	226	
SACC	FL	R4 FWS	Bogue Chitto	2005-04-05	Sweetgum	334	
SACC	FL	R4 FWS	Bogue Chitto	2004-12-13	Sweetgum	157	
SACC	FL	R4 FWS	Bogue Chitto	2004-12-01	Sweetgum	202	
SACC	FL	R4 FWS	Bogue Chitto	2004-11-16	Sweetgum	174	
SACC	FL	R4 FWS	Bogue Chitto	2007-11-28	Yaupon	105	
SACC	FL	R4 FWS	Bogue Chitto	2007-09-05	Yaupon	104	
SACC	FL	R4 FWS	Bogue Chitto	2007-06-05	Yaupon	141	
SACC	FL	R4 FWS	Bogue Chitto	2007-05-03	Yaupon	137	
SACC	FL	R4 FWS	Bogue Chitto	2007-04-03	Yaupon	174	
SACC	FL	R4 FWS	Bogue Chitto	2007-02-27	Yaupon	119	
SACC	FL	R4 FWS	Bogue Chitto	2007-02-13	Yaupon	101	
SACC	FL	R4 FWS	Bogue Chitto	2007-01-11	Yaupon	101	
SACC	FL	R4 FWS	Bogue Chitto	2006-11-01	Yaupon	140	
SACC	FL	R4 FWS	Bogue Chitto	2006-09-21	Yaupon	114	
SACC	FL	R4 FWS	Bogue Chitto	2006-08-29	Yaupon	124	
SACC	FL	R4 FWS	Bogue Chitto	2006-05-30	Yaupon	110	
SACC	FL	R4 FWS	Bogue Chitto	2006-04-19	Yaupon	130	
SACC	FL	R4 FWS	Bogue Chitto	2006-03-27	Yaupon	95	
SACC	FL	R4 FWS	Bogue Chitto	2006-02-08	Yaupon	134	
SACC	FL	R4 FWS	Bogue Chitto	2006-01-11	Yaupon	106	
SACC	FL	R4 FWS	Bogue Chitto	2005-12-12	Yaupon	107	
SACC	FL	R4 FWS	Bogue Chitto	2005-11-15	Yaupon	129	
SACC	FL	R4 FWS	Bogue Chitto	2005-09-25	Yaupon	138	
SACC	FL	R4 FWS	Bogue Chitto	2005-07-12	Yaupon	142	
SACC	FL	R4 FWS	Bogue Chitto	2005-06-15	Yaupon	124	
SACC	FL	R4 FWS	Bogue Chitto	2005-05-11	Yaupon	164	
SACC	FL	R4 FWS	Bogue Chitto	2005-04-05	Yaupon	119	
SACC	FL	R4 FWS	Bogue Chitto	2005-02-10	Yaupon	116	
SACC	FL	R4 FWS	Bogue Chitto	2004-12-13	Yaupon	107	
SACC	FL	R4 FWS	Bogue Chitto	2004-12-01	Yaupon	117	
SACC	FL	R4 FWS	Bogue Chitto	2004-11-16	Yaupon	118	
SACC	FL	R4 FWS - Merritt IS	Freds Road	2012-06-10	Oak, Overcup	117	
SACC	FL	R4 FWS - Merritt IS	Freds Road	2012-05-10	Oak, Overcup	86	
SACC	FL	R4 FWS - Merritt IS	Freds Road	2012-04-03	Oak, Overcup	164	
SACC	FL	R4 FWS - Merritt IS	Freds Road	2012-03-12	Oak, Overcup	81	
SACC	FL	R4 FWS - Merritt IS	Freds Road	2012-02-08	Oak, Overcup	80	
SACC	FL	R4 FWS - Merritt IS	Freds Road	2011-12-01	Oak, Overcup	83	
SACC	FL	R4 FWS - Merritt IS	Freds Road	2011-11-01	Oak, Overcup	78	
SACC	FL	R4 FWS - Merritt IS	Freds Road	2011-10-04	Oak, Overcup	83	
SACC	FL	R4 FWS - Merritt IS	Freds Road	2011-09-01	Oak, Overcup	91	
SACC	FL	R4 FWS - Merritt IS	Freds Road	2011-07-26	Oak, Overcup	85	
SACC	FL	R4 FWS - Merritt IS	Freds Road	2011-06-20	Oak, Overcup	86	
SACC	FL	R4 FWS - Merritt IS	Freds Road	2011-05-12	Oak, Overcup	106	
SACC	FL	R4 FWS - Merritt IS	Freds Road	2011-04-22	Oak, Overcup	117	
