GACC	State	Group	Site	Date	Fuel	Percent	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2021-10-01	Pinyon, Singleleaf	110	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2021-09-02	Pinyon, Singleleaf	119	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2021-08-15	Pinyon, Singleleaf	107	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2021-07-30	Pinyon, Singleleaf	115	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2021-07-16	Pinyon, Singleleaf	115	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2021-06-26	Pinyon, Singleleaf	95	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2021-05-28	Pinyon, Singleleaf	78	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2020-10-20	Pinyon, Singleleaf	120	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2020-09-21	Pinyon, Singleleaf	119	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2019-08-31	Pinyon, Singleleaf	117	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2019-06-28	Pinyon, Singleleaf	87	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2019-06-04	Pinyon, Singleleaf	88	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2019-04-25	Pinyon, Singleleaf	100	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2018-06-30	Pinyon, Singleleaf	98	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2018-06-21	Pinyon, Singleleaf	95	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2018-06-04	Pinyon, Singleleaf	89	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2018-05-16	Pinyon, Singleleaf	94	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2017-07-13	Pinyon, Singleleaf	105	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2017-05-11	Pinyon, Singleleaf	91	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2016-09-19	Pinyon, Singleleaf	100	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2016-07-30	Pinyon, Singleleaf	86	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2016-07-10	Pinyon, Singleleaf	95	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2016-06-22	Pinyon, Singleleaf	86	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2015-08-22	Pinyon, Singleleaf	135	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2015-07-26	Pinyon, Singleleaf	114	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2015-07-12	Pinyon, Singleleaf	107	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2015-06-21	Pinyon, Singleleaf	96	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2015-06-13	Pinyon, Singleleaf	85	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2015-03-31	Pinyon, Singleleaf	93	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2014-06-06	Pinyon, Singleleaf	75	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2013-07-09	Pinyon, Singleleaf	97	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2013-06-21	Pinyon, Singleleaf	84	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2013-06-06	Pinyon, Singleleaf	85	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2013-05-21	Pinyon, Singleleaf	88	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2013-05-06	Pinyon, Singleleaf	92	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2012-10-19	Pinyon, Singleleaf	113	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2012-10-03	Pinyon, Singleleaf	119	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2012-09-20	Pinyon, Singleleaf	116	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2012-09-05	Pinyon, Singleleaf	118	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2012-08-21	Pinyon, Singleleaf	119	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2012-08-08	Pinyon, Singleleaf	114	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2012-07-11	Pinyon, Singleleaf	116	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2012-06-26	Pinyon, Singleleaf	102	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2012-06-21	Pinyon, Singleleaf	94	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2012-05-29	Pinyon, Singleleaf	92	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2012-05-18	Pinyon, Singleleaf	93	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2012-05-01	Pinyon, Singleleaf	94	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2011-10-27	Pinyon, Singleleaf	119	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2011-10-15	Pinyon, Singleleaf	116	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2011-10-03	Pinyon, Singleleaf	119	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2011-09-18	Pinyon, Singleleaf	118	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2011-09-03	Pinyon, Singleleaf	119	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2011-08-22	Pinyon, Singleleaf	118	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2011-08-07	Pinyon, Singleleaf	109	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2011-07-23	Pinyon, Singleleaf	101	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2011-07-09	Pinyon, Singleleaf	97	
WGBC	NV	Humboldt-Toiyabe NF	Bob Scott	2011-04-28	Pinyon, Singleleaf	103	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2021-08-25	Pine, Ponderosa	123	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2021-07-30	Pine, Ponderosa	93	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2021-06-22	Pine, Ponderosa	43	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2021-05-27	Pine, Ponderosa	60	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2021-05-04	Pine, Ponderosa	110	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2020-10-27	Pine, Ponderosa	117	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2020-10-11	Pine, Ponderosa	112	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2020-09-09	Pine, Ponderosa	105	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2020-08-26	Pine, Ponderosa	58	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2020-08-11	Pine, Ponderosa	109	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2020-07-29	Pine, Ponderosa	69	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2020-07-14	Pine, Ponderosa	94	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2020-05-27	Pine, Ponderosa	106	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2020-05-10	Pine, Ponderosa	111	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2019-10-23	Pine, Ponderosa	156	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2019-10-09	Pine, Ponderosa	121	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2019-09-24	Pine, Ponderosa	45	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2019-09-12	Pine, Ponderosa	120	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2019-08-29	Pine, Ponderosa	78	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2017-09-11	Pine, Ponderosa	132	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2017-06-26	Pine, Ponderosa	106	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2016-09-19	Pine, Ponderosa	111	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2016-08-24	Pine, Ponderosa	115	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2016-08-08	Pine, Ponderosa	114	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2016-07-25	Pine, Ponderosa	106	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2016-07-11	Pine, Ponderosa	96	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2016-06-28	Pine, Ponderosa	96	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2016-06-14	Pine, Ponderosa	92	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2016-05-31	Pine, Ponderosa	104	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2016-05-18	Pine, Ponderosa	101	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2015-10-26	Pine, Ponderosa	115	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2015-10-14	Pine, Ponderosa	118	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2015-09-28	Pine, Ponderosa	114	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2015-09-15	Pine, Ponderosa	113	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2015-08-31	Pine, Ponderosa	122	
WGBC	NV	Humboldt-Toiyabe NF	Burnside	2015-08-17	Pine, Ponderosa	143	
