GACC	State	Group	Site	Date	Fuel	Percent	
NWCC	OR	NW04-MED	Galls Creek	2021-08-17	100-Hour	9	
NWCC	OR	NW04-MED	Galls Creek	2021-07-07	100-Hour	8	
NWCC	OR	NW04-MED	Galls Creek	2021-06-08	100-Hour	10	
NWCC	OR	NW04-MED	Galls Creek	2021-05-12	100-Hour	7	
NWCC	OR	NW04-MED	Galls Creek	2021-04-14	100-Hour	14	
NWCC	OR	NW04-MED	Galls Creek	2017-07-18	100-Hour	10	
NWCC	OR	NW04-MED	Galls Creek	2017-06-21	100-Hour	13	
NWCC	OR	NW04-MED	Galls Creek	2017-06-05	100-Hour	10	
NWCC	OR	NW04-MED	Galls Creek	2016-07-20	100-Hour	13	
NWCC	OR	NW04-MED	Galls Creek	2016-06-29	100-Hour	11	
NWCC	OR	NW04-MED	Galls Creek	2021-08-17	1000-Hour	14	
NWCC	OR	NW04-MED	Galls Creek	2021-07-07	1000-Hour	19	
NWCC	OR	NW04-MED	Galls Creek	2021-06-08	1000-Hour	26	
NWCC	OR	NW04-MED	Galls Creek	2021-05-12	1000-Hour	18	
NWCC	OR	NW04-MED	Galls Creek	2021-04-14	1000-Hour	37	
NWCC	OR	NW04-MED	Galls Creek	2017-07-18	1000-Hour	13	
NWCC	OR	NW04-MED	Galls Creek	2017-06-21	1000-Hour	21	
NWCC	OR	NW04-MED	Galls Creek	2017-06-05	1000-Hour	24	
NWCC	OR	NW04-MED	Galls Creek	2016-07-20	1000-Hour	20	
NWCC	OR	NW04-MED	Galls Creek	2016-06-29	1000-Hour	19	
NWCC	OR	NW04-MED	Galls Creek	2021-08-17	Douglas-Fir	117	
NWCC	OR	NW04-MED	Galls Creek	2021-07-07	Douglas-Fir	126	
NWCC	OR	NW04-MED	Galls Creek	2021-06-08	Douglas-Fir	110	
NWCC	OR	NW04-MED	Galls Creek	2021-05-12	Douglas-Fir	88	
NWCC	OR	NW04-MED	Galls Creek	2021-04-14	Douglas-Fir	93	
NWCC	OR	NW04-MED	Galls Creek	2017-07-18	Douglas-Fir	124	
NWCC	OR	NW04-MED	Galls Creek	2017-06-21	Douglas-Fir	111	
NWCC	OR	NW04-MED	Galls Creek	2017-06-05	Douglas-Fir	94	
NWCC	OR	NW04-MED	Galls Creek	2016-07-20	Douglas-Fir	121	
NWCC	OR	NW04-MED	Galls Creek	2016-06-29	Douglas-Fir	119	
NWCC	OR	NW04-MED	Galls Creek	2021-08-17	Manzanita, Whiteleaf	123	
NWCC	OR	NW04-MED	Galls Creek	2021-07-07	Manzanita, Whiteleaf	99	
NWCC	OR	NW04-MED	Galls Creek	2021-06-08	Manzanita, Whiteleaf	108	
NWCC	OR	NW04-MED	Galls Creek	2021-05-12	Manzanita, Whiteleaf	43	
NWCC	OR	NW04-MED	Galls Creek	2021-04-14	Manzanita, Whiteleaf	191	
NWCC	OR	NW04-MED	Galls Creek	2017-07-18	Manzanita, Whiteleaf	100	
NWCC	OR	NW04-MED	Galls Creek	2017-06-21	Manzanita, Whiteleaf	129	
NWCC	OR	NW04-MED	Galls Creek	2017-06-05	Manzanita, Whiteleaf	102	
NWCC	OR	NW04-MED	Galls Creek	2016-07-20	Manzanita, Whiteleaf	103	
NWCC	OR	NW04-MED	Galls Creek	2016-06-29	Manzanita, Whiteleaf	113	
NWCC	OR	NW04-MED	Galls Creek	2021-08-17	Pine, Ponderosa	86	
NWCC	OR	NW04-MED	Galls Creek	2021-07-07	Pine, Ponderosa	123	
NWCC	OR	NW04-MED	Galls Creek	2021-06-08	Pine, Ponderosa	118	
NWCC	OR	NW04-MED	Galls Creek	2021-05-12	Pine, Ponderosa	55	
NWCC	OR	NW04-MED	Galls Creek	2021-04-14	Pine, Ponderosa	113	
NWCC	OR	NW04-MED	Galls Creek	2017-07-18	Pine, Ponderosa	143	
NWCC	OR	NW04-MED	Galls Creek	2017-06-21	Pine, Ponderosa	139	
NWCC	OR	NW04-MED	Galls Creek	2017-06-05	Pine, Ponderosa	113	
NWCC	OR	NW04-MED	Galls Creek	2016-07-20	Pine, Ponderosa	123	
NWCC	OR	NW04-MED	Galls Creek	2016-06-29	Pine, Ponderosa	119	
NWCC	OR	NW04-MED	Shale City	2021-07-14	100-Hour	8	
NWCC	OR	NW04-MED	Shale City	2021-06-16	100-Hour	20	
NWCC	OR	NW04-MED	Shale City	2021-05-13	100-Hour	16	
NWCC	OR	NW04-MED	Shale City	2021-04-15	100-Hour	11	
NWCC	OR	NW04-MED	Shale City	2017-07-05	100-Hour	13	
NWCC	OR	NW04-MED	Shale City	2017-06-19	100-Hour	14	
NWCC	OR	NW04-MED	Shale City	2016-06-23	100-Hour	17	
NWCC	OR	NW04-MED	Shale City	2021-07-14	1000-Hour	22	
NWCC	OR	NW04-MED	Shale City	2021-06-16	1000-Hour	55	
NWCC	OR	NW04-MED	Shale City	2021-05-13	1000-Hour	41	
NWCC	OR	NW04-MED	Shale City	2021-04-15	1000-Hour	82	
NWCC	OR	NW04-MED	Shale City	2017-07-05	1000-Hour	19	
NWCC	OR	NW04-MED	Shale City	2017-06-19	1000-Hour	28	
NWCC	OR	NW04-MED	Shale City	2016-06-23	1000-Hour	19	
NWCC	OR	NW04-MED	Shale City	2021-07-14	Douglas-Fir	120	
NWCC	OR	NW04-MED	Shale City	2021-06-16	Douglas-Fir	109	
NWCC	OR	NW04-MED	Shale City	2021-05-13	Douglas-Fir	65	
NWCC	OR	NW04-MED	Shale City	2021-04-15	Douglas-Fir	100	
NWCC	OR	NW04-MED	Shale City	2017-07-05	Douglas-Fir	112	
NWCC	OR	NW04-MED	Shale City	2017-06-19	Douglas-Fir	93	
NWCC	OR	NW04-MED	Shale City	2016-06-23	Douglas-Fir	99	
NWCC	OR	NW04-MED	Shale City	2021-07-14	Manzanita, Greenleaf	106	
NWCC	OR	NW04-MED	Shale City	2021-06-16	Manzanita, Greenleaf	99	
NWCC	OR	NW04-MED	Shale City	2021-05-13	Manzanita, Greenleaf	74	
NWCC	OR	NW04-MED	Shale City	2017-07-05	Manzanita, Greenleaf	127	
NWCC	OR	NW04-MED	Shale City	2017-06-19	Manzanita, Greenleaf	102	
NWCC	OR	NW04-MED	Shale City	2016-06-23	Manzanita, Greenleaf	99	
NWCC	OR	NW04-MED	Shale City	2021-07-14	Pine, Ponderosa	120	
NWCC	OR	NW04-MED	Shale City	2021-06-16	Pine, Ponderosa	117	
NWCC	OR	NW04-MED	Shale City	2021-05-13	Pine, Ponderosa	121	
NWCC	OR	NW04-MED	Shale City	2021-04-15	Pine, Ponderosa	124	
