GACC	State	Group	Site	Date	Fuel	Percent	
SOCC	CA	Angeles NF	Glendora Motorway	2019-04-26	Chamise	126	
SOCC	CA	Angeles NF	Glendora Motorway	2019-03-28	Chamise	144	
SOCC	CA	Angeles NF	Glendora Motorway	2018-11-15	Chamise	55	
SOCC	CA	Angeles NF	Glendora Motorway	2018-11-02	Chamise	60	
SOCC	CA	Angeles NF	Glendora Motorway	2018-10-11	Chamise	55	
SOCC	CA	Angeles NF	Glendora Motorway	2018-09-28	Chamise	53	
SOCC	CA	Angeles NF	Glendora Motorway	2018-07-18	Chamise	73	
SOCC	CA	Angeles NF	Glendora Motorway	2018-07-06	Chamise	76	
SOCC	CA	Angeles NF	Glendora Motorway	2018-06-14	Chamise	99	
SOCC	CA	Angeles NF	Glendora Motorway	2018-06-01	Chamise	97	
SOCC	CA	Angeles NF	Glendora Motorway	2018-05-15	Chamise	108	
SOCC	CA	Angeles NF	Glendora Motorway	2018-04-13	Chamise	132	
SOCC	CA	Angeles NF	Glendora Motorway	2018-04-04	Chamise	104	
SOCC	CA	Angeles NF	Glendora Motorway	2018-02-20	Chamise	71	
SOCC	CA	Angeles NF	Glendora Motorway	2018-01-18	Chamise	55	
SOCC	CA	Angeles NF	Glendora Motorway	2017-11-15	Chamise	57	
SOCC	CA	Angeles NF	Glendora Motorway	2017-10-31	Chamise	68	
SOCC	CA	Angeles NF	Glendora Motorway	2017-10-06	Chamise	60	
SOCC	CA	Angeles NF	Glendora Motorway	2017-09-15	Chamise	65	
SOCC	CA	Angeles NF	Glendora Motorway	2017-08-31	Chamise	68	
SOCC	CA	Angeles NF	Glendora Motorway	2017-08-11	Chamise	72	
SOCC	CA	Angeles NF	Glendora Motorway	2017-07-29	Chamise	79	
SOCC	CA	Angeles NF	Glendora Motorway	2017-07-05	Chamise	87	
SOCC	CA	Angeles NF	Glendora Motorway	2017-05-19	Chamise	108	
SOCC	CA	Angeles NF	Glendora Motorway	2017-05-03	Chamise	121	
SOCC	CA	Angeles NF	Glendora Motorway	2017-04-12	Chamise	119	
SOCC	CA	Angeles NF	Glendora Motorway	2017-03-28	Chamise	134	
SOCC	CA	Angeles NF	Glendora Motorway	2017-03-14	Chamise	149	
SOCC	CA	Angeles NF	Glendora Motorway	2017-02-15	Chamise	97	
SOCC	CA	Angeles NF	Glendora Motorway	2017-01-17	Chamise	65	
SOCC	CA	Angeles NF	Glendora Motorway	2016-11-11	Chamise	52	
SOCC	CA	Angeles NF	Glendora Motorway	2016-10-06	Chamise	56	
SOCC	CA	Angeles NF	Glendora Motorway	2016-07-08	Chamise	65	
SOCC	CA	Angeles NF	Glendora Motorway	2016-06-10	Chamise	69	
SOCC	CA	Angeles NF	Glendora Motorway	2016-04-19	Chamise	119	
SOCC	CA	Angeles NF	Glendora Motorway	2016-02-12	Chamise	103	
SOCC	CA	Angeles NF	Glendora Motorway	2016-01-29	Chamise	75	
SOCC	CA	Angeles NF	Glendora Motorway	2015-11-10	Chamise	59	
SOCC	CA	Angeles NF	Glendora Motorway	2015-09-19	Chamise	62	
SOCC	CA	Angeles NF	Glendora Motorway	2015-08-28	Chamise	55	
SOCC	CA	Angeles NF	Glendora Motorway	2015-08-06	Chamise	57	
SOCC	CA	Angeles NF	Glendora Motorway	2015-07-15	Chamise	60	
SOCC	CA	Angeles NF	Glendora Motorway	2015-06-19	Chamise	67	
SOCC	CA	Angeles NF	Glendora Motorway	2015-04-07	Chamise	81	
SOCC	CA	Angeles NF	Glendora Motorway	2015-03-15	Chamise	127	
SOCC	CA	Angeles NF	Glendora Motorway	2015-01-09	Chamise	82	
SOCC	CA	Angeles NF	Glendora Motorway	2014-11-29	Chamise	64	
SOCC	CA	Angeles NF	Glendora Motorway	2014-10-31	Chamise	53	
SOCC	CA	Angeles NF	Glendora Motorway	2014-09-30	Chamise	47	
SOCC	CA	Angeles NF	Glendora Motorway	2014-09-15	Chamise	49	
SOCC	CA	Angeles NF	Glendora Motorway	2014-08-28	Chamise	55	
SOCC	CA	Angeles NF	Glendora Motorway	2014-07-29	Chamise	54	
SOCC	CA	Angeles NF	Glendora Motorway	2014-07-17	Chamise	58	
SOCC	CA	Angeles NF	Glendora Motorway	2014-07-01	Chamise	66	
SOCC	CA	Angeles NF	Glendora Motorway	2014-06-16	Chamise	70	
SOCC	CA	Angeles NF	Glendora Motorway	2014-05-27	Chamise	94	
SOCC	CA	Angeles NF	Glendora Motorway	2014-05-06	Chamise	113	
SOCC	CA	Angeles NF	Glendora Motorway	2014-03-31	Chamise	119	
SOCC	CA	Angeles NF	Glendora Motorway	2014-03-05	Chamise	94	
SOCC	CA	Angeles NF	Glendora Motorway	2014-02-01	Chamise	69	
SOCC	CA	Angeles NF	Glendora Motorway	2014-01-10	Chamise	62	
SOCC	CA	Angeles NF	Glendora Motorway	2013-11-11	Chamise	54	
SOCC	CA	Angeles NF	Glendora Motorway	2013-10-29	Chamise	60	
SOCC	CA	Angeles NF	Glendora Motorway	2013-10-13	Chamise	60	
SOCC	CA	Angeles NF	Glendora Motorway	2013-09-10	Chamise	51	
SOCC	CA	Angeles NF	Glendora Motorway	2013-08-15	Chamise	56	
SOCC	CA	Angeles NF	Glendora Motorway	2013-07-30	Chamise	58	
SOCC	CA	Angeles NF	Glendora Motorway	2013-07-10	Chamise	59	
SOCC	CA	Angeles NF	Glendora Motorway	2013-06-25	Chamise	61	
SOCC	CA	Angeles NF	Glendora Motorway	2013-05-28	Chamise	75	
SOCC	CA	Angeles NF	Glendora Motorway	2013-05-13	Chamise	84	
SOCC	CA	Angeles NF	Glendora Motorway	2013-04-28	Chamise	91	
SOCC	CA	Angeles NF	Glendora Motorway	2013-04-09	Chamise	98	
SOCC	CA	Angeles NF	Glendora Motorway	2013-02-03	Chamise	81	
SOCC	CA	Angeles NF	Glendora Motorway	2013-01-08	Chamise	70	
SOCC	CA	Angeles NF	Glendora Motorway	2012-11-28	Chamise	66	
SOCC	CA	Angeles NF	Glendora Motorway	2012-11-13	Chamise	57	
SOCC	CA	Angeles NF	Glendora Motorway	2012-10-02	Chamise	57	
SOCC	CA	Angeles NF	Glendora Motorway	2012-09-17	Chamise	56	
SOCC	CA	Angeles NF	Glendora Motorway	2012-08-28	Chamise	54	
SOCC	CA	Angeles NF	Glendora Motorway	2012-08-14	Chamise	55	
SOCC	CA	Angeles NF	Glendora Motorway	2012-07-17	Chamise	68	
SOCC	CA	Angeles NF	Glendora Motorway	2012-07-02	Chamise	76	
SOCC	CA	Angeles NF	Glendora Motorway	2012-05-30	Chamise	104	
SOCC	CA	Angeles NF	Glendora Motorway	2012-05-08	Chamise	110	
SOCC	CA	Angeles NF	Glendora Motorway	2012-03-12	Chamise	86	
SOCC	CA	Angeles NF	Glendora Motorway	2012-02-18	Chamise	72	
SOCC	CA	Angeles NF	Glendora Motorway	2012-01-18	Chamise	65	
SOCC	CA	Angeles NF	Glendora Motorway	2011-11-28	Chamise	71	
SOCC	CA	Angeles NF	Glendora Motorway	2011-10-31	Chamise	71	
SOCC	CA	Angeles NF	Glendora Motorway	2011-10-10	Chamise	72	
